variant,canonical_locality,ward_name,ward_no,zone
aman vhar,aman vihar,aman vihar,41,rohini zone
शेख सराय फेज 1,शेख सराय फेज 1,चिराग दिल्ली,172,साउथ ज़ोन
ओम विहार फेज 2,ओम विहार,उत्तम नगर,115,नजफगढ़ ज़ोन
एसडीए,एसडीए,ग्रीन पार्क,150,साउथ ज़ोन
नरेला सैक्टर ए 3,नरेला सेक्टर ए-3,बांकनेर,2,नरेला ज़ोन
वसंत कुंज सेक्टर डी कॉलोनी,वसंत कुंज सेक्टर डी,वसंत कुंज,156,साउथ ज़ोन
एसडीए एरिया,एसडीए,ग्रीन पार्क,150,साउथ ज़ोन
shalimar bagh a block,shalimar bagh block a,shalimar bagh - a,55,keshav puram zone
motia khan area,motia khan,quraish nagar,81,city sp zone
सुभाष विहार घोंडा,सुभाष विहार,घोंडा (women),231,शाहदरा नॉर्थ ज़ोन
amar colony lajpat nagar,amar colony,amar colony,146,central zone
रोहिनी सेक्टर 6,रोहिणी सेक्टर 6,रोहिणी-ई,53,रोहिणी ज़ोन
prashant vihar,prashant vihar,rohini-c,51,rohini zone
ram pura,rampura,keshav puram,64,keshav puram zone
trilokpuriblock 20,trilokpuri block 20,trilokpuri,192,east zone
न्यू कोंडली दिल्ली,न्यू कोंडली,कोंडली,193,ईस्ट ज़ोन
madanpur khadar jj colony,madanpur khadar jj colony,madanpur khadar west,186,south zone
कादीपुर विलेज,कादीपुर गाँव,कादीपुर,7,सिविल लाइंस ज़ोन
timarpur village,timarpur village,timarpur,11,civil lines zone
malikpur delhi,malikpur,isapur,126,najafgarh zone
dashrath puri colony,dashrath puri,mahavir enclave,137,najafgarh zone
संजय कॉलोनी एरिया,sanjay कॉलोनी,भाटी,158,साउथ ज़ोन
रोहताश नगर पूर्वी,रोहताश नगर ईस्ट,रोहताश नगर,223,शाहदरा नॉर्थ ज़ोन
jakhira,zakhira,karam pura,89,karol bagh zone
yamuna vihar delhi,yamuna vihar (parts),bhajanpura (gen),230,shahdara north zone
भलस्वा झील के आसपास,भलस्वा लेक एरिया,भलस्वा,17,सिविल लाइंस ज़ोन
nangloi extension delhi,nangloi extension,nihal vihar,47,rohini zone
वेलकम फेज २,वेलकम फेज 2,वेलकम कॉलोनी,224,शाहदरा नॉर्थ ज़ोन
dwrka sec 9,dwarka sector 9,dwarka - a,121,najafgarh zone
नत्थूपुरा विलेज,नत्थूपुरा,स्वरूप नगर,19,सिविल लाइंस ज़ोन
nangloi villge,nangloi village,nangloi,34,rohini zone
vasantkunj sec d,vasant kunj sector d,vasant kunj,156,south zone
nand nagri ext delhi,nand nagri extension,sunder nagri,218,shahdara north zone
ram nagar p-ganj,ram nagar (paharganj),ram nagar,80,city sp zone
lok vihar delhi,lok vihar,saraswati vihar,58,keshav puram zone
गोविंद पुरी,गोविंदपुरी,गोविंदपुरी,176,साउथ ज़ोन
मधु विहार रोड,मधु विहार,मधु विहार,136,नजफगढ़ ज़ोन
avantika colony,avantika,mangolpuri-a,49,rohini zone
dwarka sec12,dwarka sector 12,dwarka - b,120,najafgarh zone
sultanpuri block-a,sultanpuri block a,sultanpuri-a,43,rohini zone
गुलमोहरपार्क,गुलमोहर पार्क,ग्रीन पार्क,150,साउथ ज़ोन
tatar pur,tatarpur,chaukhandi nagar,97,west zone
trilokpuri blk8,trilokpuri block 8,trilokpuri,192,east zone
budh vihar p1,budh vihar phase 1,budh vihar,25,rohini zone
kadeypur village,kadipur village,sarup nagar,19,civil lines zone
bsfcamp,bsf camp,chhawala,125,najafgarh zone
लक्ष्मी नगर दिल्ली मार्केट,लक्ष्मी नगर मार्केट,लक्ष्मी नगर,203,ईस्ट ज़ोन
चितरंजन पार्क,चितरंजन पार्क,चितरंजन पार्क,171,साउथ ज़ोन
हरकेश नगर ओखला,हरकेश नगर,हरकेश नगर,177,साउथ ज़ोन
lal qila area,red fort,chandni chowk,74,city sp zone
जनकपुरी डी ब्लाक,जनकपुरी ब्लॉक डी,जनकपुरी साउथ,104,वेस्ट ज़ोन
sanjay lake,sanjay lake area,mayur vihar phase-ii,196,east zone
zakir nagar okhla,zakir nagar,zakir nagar,189,central zone
गढ़ी गाँव,गढ़ी गाँव,अमर कॉलोनी,146,सेंट्रल ज़ोन
churi wala,churi walan,ballimaran,79,city sp zone
chota bazar,chhota bazar,shahdara,215,shahdara south zone
शालीमार बाग ब्लाक डी,शालीमार बाग ब्लॉक डी,शालीमार बाग - बी,56,केशव पुरम ज़ोन
chhatarpur gaon delhi,chhatarpur village,chhatarpur,159,south zone
मंदाकिनी कॉलोनी,मंदाकिनी,चितरंजन पार्क,171,साउथ ज़ोन
rajouri garden metro,rajouri garden,rajouri garden,96,west zone
रोहिणी सेक्टर 4,रोहिणी सेक्टर 4,विजय विहार,24,रोहिणी ज़ोन
dakshinpuri south delhi,dakshinpuri,dakshin puri,164,south zone
सेक्टर २०,सेक्टर 20,अमन विहार,41,रोहिणी ज़ोन
आरके पुरम सेक्टर 4,आरके पुरम सेक्टर 4,आर.के. पुरम,152,साउथ ज़ोन
राजौरी गार्डन,राजौरी गार्डन,राजौरी गार्डन,96,वेस्ट ज़ोन
सैक्टर 24 रोहिणी,रोहिणी सेक्टर 24,रिठाला,23,रोहिणी ज़ोन
सेक्टर 12 आरके पुरम,आरके पुरम सेक्टर 12,आर.के. पुरम,152,साउथ ज़ोन
करमपुरा रोड,करमपुरा,करमपुरा,89,करोल बाग ज़ोन
वेलकम सीलमपुर फेज 1,वेलकम फेज 1,वेलकम कॉलोनी,224,शाहदरा नॉर्थ ज़ोन
नंद नगरी ए से ई ब्लॉक,नंद नगरी ब्लॉक,नंद नगरी,220,शाहदरा नॉर्थ ज़ोन
लाल बाग कॉलोनी,लाल बाग,आज़ादपुर,16,सिविल लाइंस ज़ोन
sarita vihar i pocket,sarita vihar pocket i,sarita vihar,187,south zone
chhatarpur enclave road,chhatarpur enclave,chhatarpur,159,south zone
rk puram sec5,rk puram sector 5,r.k. puram,152,south zone
केशोपुर मन्डी,केशोपुर मंडी Area,केशोपुर,103,वेस्ट ज़ोन
कमला नगर सेंटर,कमला नगर मार्केट,कमला नगर,69,केशव पुरम ज़ोन
shalimar bagh blk b,shalimar bagh block b,shalimar bagh - a,55,keshav puram zone
द्वारका सेक्टर-11,द्वारका सेक्टर 11,द्वारका - बी,120,नजफगढ़ ज़ोन
erocity,aerocity,mahipalpur,133,najafgarh zone
dwarka mor uttam nagar side,dwarka mor,nawada,114,najafgarh zone
खानपुर बस्ती,खानपुर गाँव,खानपुर,167,साउथ ज़ोन
krishi kunj delhi,krishi kunj,inder puri,140,karol bagh zone
loni check post area,loni border area,gokalpuri,239,shahdara north zone
सरिता विहार एल ब्लॉक,सरिता विहार pocket l,सरिता विहार,187,साउथ ज़ोन
subhash vihar delhi,subhash vihar,ghonda (women),231,shahdara north zone
milan cinema region,milan cinema area,karam pura,89,karol bagh zone
कैंप नं. 4,कैंप नंबर 4,ज्वालापुरी,45,रोहिणी ज़ोन
ranjeet nagar patel nagar side,ranjeet nagar,ranjeet nagar,87,karol bagh zone
shastri prk,shastri park,shastri park,213,shahdara north zone
द्वारका सेक्टर 7,द्वारका सेक्टर 7,द्वारका - ए,121,नजफगढ़ ज़ोन
shanti mohalla delhi,shanti mohalla,gandhi nagar,212,shahdara south zone
एयरोसिटी होटल एरिया,एयरोसिटी,महिपालपुर,133,नजफगढ़ ज़ोन
metro vihar,metro vihar,holambi kalan,3,narela zone
पश्चिम विहार दिल्ली ईस्ट,पश्चिम विहार ईस्ट,पश्चिम विहार,59,केशव पुरम ज़ोन
मंगलापुरी वाली रोड,मंगलापुरी,मंगलापुरी,119,नजफगढ़ ज़ोन
hars vihar,harsh vihar,harsh vihar,237,shahdara north zone
sunder vhar,sunder vihar,jawalapuri,45,rohini zone
तुर्कमान गेट वाली गली,तुर्कमान गेट,दिल्ली गेट,77,सिटी एसपी ज़ोन
mitraon delhi,mitraon,dichaon kalan,128,najafgarh zone
सुल्तानपुरी ब्लॉक एफ,सुल्तानपुरी ब्लॉक एफ,सुल्तानपुरी-बी,44,रोहिणी ज़ोन
रामपुरा कॉलोनी,रामपुरा,केशव पुरम,64,केशव पुरम ज़ोन
bazeetpur,bajitpur,nangal thakran,31,narela zone
rohni sector 5,rohini sector 5,rohini-e,53,rohini zone
बुराड़ी मेन गांव,बुराड़ी गाँव,बुराड़ी,6,सिविल लाइंस ज़ोन
कस्तूरबा नगर शाहदरा,कस्तूरबा नगर शाहदरा,विश्वास नगर,207,शाहदरा साउथ ज़ोन
nabi kareem,nabi karim,pahar ganj,82,city sp zone
trilokpuri blk35,trilokpuri block 35,trilokpuri,192,east zone
निरंकारी कॉलोनी धीरपुर,निरंकारी कॉलोनी,धीरपुर,14,सिविल लाइंस ज़ोन
srinivaspuri delhi,srinivaspuri,sri niwas puri,174,central zone
द्वारका सेक्टर 12,द्वारका सेक्टर 12,द्वारका - बी,120,नजफगढ़ ज़ोन
बीडी एस्टेट रोड,बीडी एस्टेट,तिमारपुर,11,सिविल लाइंस ज़ोन
गुजरांवाला टाउन एरिया,गुजरांवाला टाउन,मॉडल टाउन,68,केशव पुरम ज़ोन
अबुल फजल एन्क्लेव वाली गली,अबुल फजल एन्क्लेव,अबुल फजल एन्क्लेव,188,सेंट्रल ज़ोन
mangol puri resettlement areas,mangolpuri resettlement areas,mangolpuri-b,50,rohini zone
सागरपुर पूर्व,सागरपुर ईस्ट,सागरपुर,118,नजफगढ़ ज़ोन
आर के पुरम सेक्टर 5,आरके पुरम सेक्टर 5,आर.के. पुरम,152,साउथ ज़ोन
वेलकम भाग 3,वेलकम फेज 3,वेलकम कॉलोनी,224,शाहदरा नॉर्थ ज़ोन
पटपड़गंज वाली गली,पटपड़गंज गाँव,पटपड़गंज,197,ईस्ट ज़ोन
rup nagar,roop nagar,kamla nagar,69,keshav puram zone
saboli vill,saboli village,saboli,238,shahdara north zone
golcha daryaganj,golcha cinema area,daryaganj,142,city sp zone
रोहिनी सेक्टर 5,रोहिणी सेक्टर 5,रोहिणी-ई,53,रोहिणी ज़ोन
pamposh enclave colony,pamposh enclave,greater kailash,173,south zone
baljit nagar,baljeet nagar,baljeet nagar,88,karol bagh zone
सीआर पार्क,चितरंजन पार्क,चितरंजन पार्क,171,साउथ ज़ोन
राणी गार्डन,रानी गार्डन,गीता कॉलोनी,210,शाहदरा साउथ ज़ोन
नरेला सेक्टर ए-4,नरेला सेक्टर ए-4,बांकनेर,2,नरेला ज़ोन
gujranwala ngr,gujranwala town,model town,68,keshav puram zone
नांगली सकरावती गांव,नांगली सकरावती,नांगली सकरावती,124,नजफगढ़ ज़ोन
sultanpuri f block,sultanpuri block f,sultanpuri-b,44,rohini zone
rohini sector8,rohini sector 8,rohini-a,21,rohini zone
प्रताप नगर कॉलोनी,प्रताप नगर,किशन गंज,71,सिटी एसपी ज़ोन
district center,district centre,janakpuri west,106,west zone
सेक्टर 7 आरके पुरम,आरके पुरम सेक्टर 7,आर.के. पुरम,152,साउथ ज़ोन
kalyanpuri blks,kalyanpuri blocks,kalyanpuri,195,east zone
कोहाट एन्क्लेव कॉलोनी,कोहाट एन्क्लेव,कोहाट एन्क्लेव,61,केशव पुरम ज़ोन
hiranki gaon,hiranki,bakhtawarpur,5,narela zone
चौहानपट्टी,चौहान पट्टी,सोनिया विहार,249,शाहदरा नॉर्थ ज़ोन
सौरभ विहार रोड,सौरभ विहार,मीठापुर,182,साउथ ज़ोन
बादली गाँव,बादली गाँव,समयपुर बादली,20,सिविल लाइंस ज़ोन
karawal nagar east,karawal nagar east,karawal nagar east,241,shahdara north zone
palam extension delhi,palam extension,dwarka - a,121,najafgarh zone
बलजीत नगर एरिया,बलजीत नगर,बलजीत नगर,88,करोल बाग ज़ोन
tilaknagar market,tilak nagar market,tilak nagar,101,west zone
sarita vihar pckt d,sarita vihar pocket d,sarita vihar,187,south zone
bawana village,bawana village,bawana,30,narela zone
acharya nager,acharya niketan,mayur vihar phase-i,191,east zone
rohini sec 2,rohini sector 2,rohini-f,52,rohini zone
वी3एस मॉल क्षेत्र,वी3एस मॉल क्षेत्र,लक्ष्मी नगर,203,ईस्ट ज़ोन
indraprastha apollo hospital,apollo hospital,sarita vihar,187,south zone
ghaffar market area,ghaffar market,karol bagh,83,karol bagh zone
रिठाला बस्ती,रिठाला गाँव,रिठाला,23,रोहिणी ज़ोन
arkashan road,arakashan road,ram nagar,80,city sp zone
ghonda ext delhi,ghonda extension,yamuna vihar (gen.),232,shahdara north zone
rohini sec 8 a block,rohini sector 8 block a,rohini-a,21,rohini zone
कबीर नगर शाहदरा,कबीर नगर,कबीर नगर (gen),234,शाहदरा नॉर्थ ज़ोन
gur mandi market,gur mandi,sangam park,67,keshav puram zone
एयरोसिटी महिपालपुर,एयरोसिटी,महिपालपुर,133,नजफगढ़ ज़ोन
खजूरी खास बस्ती,खजूरी खास,श्री राम कॉलोनी,246,शाहदरा नॉर्थ ज़ोन
सीतापुरी कॉलोनी,सीतापुरी,डाबड़ी,117,नजफगढ़ ज़ोन
rohini sec 16,rohini sector 16,rohini-b,22,rohini zone
रोहिणी सेक्टर-3,रोहिणी सेक्टर 3,रोहिणी-डी,54,रोहिणी ज़ोन
pochanpur delhi,pochanpur,dwarka-c,130,najafgarh zone
gari village,garhi village,amar colony,146,central zone
kapil vihar colony,kapil vihar,kohat enclave,61,keshav puram zone
वैशाली कॉलोनी,वैशाली,पीतमपुरा,57,केशव पुरम ज़ोन
gandhi vhar,gandhi vihar,dhirpur,14,civil lines zone
shanti nagar area,shanti nagar,tri nagar,63,keshav puram zone
बुध विहार दूसरा फेज़,बुध विहार फेज़ 2,बुध विहार,25,रोहिणी ज़ोन
बलजीत नगर रोड,बलजीत नगर,बलजीत नगर,88,करोल बाग ज़ोन
trlokpuri block 25,trilokpuri block 25,trilokpuri,192,east zone
mubarakpur dabas gaon,mubarakpur dabas,prem nagar,38,rohini zone
सरिता विहार जे ब्लॉक,सरिता विहार पॉकेट जे,सरिता विहार,187,साउथ ज़ोन
मण्डका गांव,मुंडका गाँव,मुंडका,35,रोहिणी ज़ोन
rani bagh main market,rani bagh main market,rani bagh,60,keshav puram zone
daksin puri,dakshinpuri,dakshin puri,164,south zone
बिजवासन बस्ती,बिजवासन गाँव,बिजवासन,131,नजफगढ़ ज़ोन
karampura delhi,karampura,karam pura,89,karol bagh zone
drdo rac,drdo rac,timarpur,11,civil lines zone
ashok nagar area,ashok nagar (shahdara),ashok nagar,221,shahdara north zone
अमर कोलनी,अमर कॉलोनी,अमर कॉलोनी,146,सेंट्रल ज़ोन
शांतिनगर,शांति नगर,त्रिनगर,63,केशव पुरम ज़ोन
ईश्वर नगर एरिया,ईश्वर नगर,श्रीनिवासपुरी,174,सेंट्रल ज़ोन
ishwar nagar road,ishwar nagar,sri niwas puri,174,central zone
मुनीरका गाँव,मुनिरका गाँव,मुनिरका,151,साउथ ज़ोन
सुंदरविहार,सुंदर विहार,ज्वालापुरी,45,रोहिणी ज़ोन
मालवीय नगर रोड,मालवीय नगर,मालवीय नगर,149,साउथ ज़ोन
लाजपत नगर पार्ट 3,लाजपत नगर 3,लाजपत नगर,144,सेंट्रल ज़ोन
चौखंडी ग्राम,चौखंडी गाँव,चौखंडी नगर,97,वेस्ट ज़ोन
बरवाला बस्ती,बरवाला,पूठ खुर्द,29,नरेला ज़ोन
south ex 2,south extension part 2,andrews ganj,145,central zone
बाड़ा हिंदू राव,बाड़ा हिंदू राव,सदर बाज़ार,72,सिटी एसपी ज़ोन
कैलाश पूर्व रोड,कैलाश पूर्व,अमर कॉलोनी,146,सेंट्रल ज़ोन
चूड़ी वालाँ बाजार,चूड़ी वालाँ,बल्लीमारान,79,सिटी एसपी ज़ोन
कबीर नगर बाबापुर साइड,कबीर नगर,कबीर नगर (gen),234,शाहदरा नॉर्थ ज़ोन
trilokpuri block 1,trilokpuri block 1,trilokpuri,192,east zone
tri nagar area,tri nagar,tri nagar,63,keshav puram zone
सोनिया विहार एक्सटेंशन दिल्ली,सोनिया विहार एक्सटेंशन,सबापुर,250,शाहदरा नॉर्थ ज़ोन
जखीरा बस्ती,ज़खीरा,करमपुरा,89,करोल बाग ज़ोन
कुकुरैश नगर,कुरैश नगर,कुरैश नगर,81,सिटी एसपी ज़ोन
मंडावली मुख्य गांव,मंडावली गाँव,मंडावली,199,ईस्ट ज़ोन
dwarka sector 12 delhi,dwarka sector 12,dwarka - b,120,najafgarh zone
madanpurdabas,madanpur dabas,rani khera,33,narela zone
jahangirpuri blk c,jahangirpuri block c,jahangir puri,18,civil lines zone
bsf camp chhawla,bsf camp,chhawala,125,najafgarh zone
रोहिणी सेक्टर ११,रोहिणी सेक्टर 11,रोहिणी-बी,22,रोहिणी ज़ोन
seelampur gaon,seelampur village,seelampur,225,shahdara north zone
महावीर एन्क्लेव भाग 3,महावीर एन्क्लेव पार्ट 3,महावीर एन्क्लेव,105,नजफगढ़ ज़ोन
बल्लीमारान मुख्य,बल्लीमारान,बल्लीमारान,79,सिटी एसपी ज़ोन
मॉडल टाउन पहला हिस्सा,मॉडल टाउन 1,走 मॉडल टाउन,68,केशव पुरम ज़ोन
नरेला पंजाबी कॉलोनी,पंजाबी कॉलोनी,नरेला,1,नरेला ज़ोन
बाटला हाउस ओखला,बाटला हाउस,जाकिर नगर,189,सेंट्रल ज़ोन
कालकाजी एक्सटेंशन वाली साइड,कालकाजी एक्सटेंशन,गोविंदपुरी,176,साउथ ज़ोन
sabhapur delhi,sabhapur village,sabapur,250,shahdara north zone
shalimar bagh d block,shalimar bagh block d,shalimar bagh - b,56,keshav puram zone
nandnagri extension,nand nagri extension,sunder nagri,218,shahdara north zone
पंजबी कॉलोनी,पंजाबी कॉलोनी,नरेला,1,नरेला ज़ोन
सेक्टर ए-4 नरेला,नरेला सेक्टर ए-4,बांकनेर,2,नरेला ज़ोन
चोखंडी गाँव,चौखंडी गाँव,चौखंडी नगर,97,वेस्ट ज़ोन
turkmangate,turkman gate,delhi gate,77,city sp zone
prasahnt vihar,prashant vihar,rohini-c,51,rohini zone
jawaharlal nehru university campus,jnu campus,munirka,151,south zone
sarita vihar block f,sarita vihar pocket f,sarita vihar,187,south zone
saboli gaon,saboli village,saboli,238,shahdara north zone
घिटोरनी,घिटोरनी,आया नगर,157,साउथ ज़ोन
abul fazl enclave,abul fazal enclave,abul fazal enclave,188,central zone
iit gate metro,iit delhi,hauj khas,148,south zone
इंद्रप्रस्थ अपोलो अस्पताल,अपोलो अस्पताल,सरिता विहार,187,साउथ ज़ोन
सैक्टर 4 द्वारका,द्वारका सेक्टर 4,द्वारका - ए,121,नजफगढ़ ज़ोन
sudarshan park road,sudarshan park,moti nagar,90,karol bagh zone
newusmanpur,new usmanpur,braham puri (women),229,shahdara north zone
बदरपुर बॉर्डर फरीदाबाद साइड,बदरपुर बॉर्डर,हरि नगर एक्सटेंशन,183,साउथ ज़ोन
mandoliindustrialarea,mandoli industrial area,harsh vihar,237,shahdara north zone
श्याम कॉलोनी वाली गली,श्याम कॉलोनी,बुध विहार,25,रोहिणी ज़ोन
kushak no. one,kushak no. 1,kadipur,7,civil lines zone
vasantkunj sec b,vasant kunj sector b,vasant kunj,156,south zone
वसंत कुंज सेक्टर ए वाली गली,वसंत कुंज सेक्टर ए,वसंत कुंज,156,साउथ ज़ोन
madanpur khadar gaon delhi,madanpur khadar village,madanpur khadar east,185,south zone
जगत पुरी दिल्ली,जगतपुरी,अनारकली,208,शाहदरा साउथ ज़ोन
bhagya vihar mubarikpur,bhagya vihar,mubarikpur,39,rohini zone
gujranwala town road,gujranwala town,model town,68,keshav puram zone
जोहरीपुर गाँव,जोहरीपुर गांव,जोहरीपुर,240,शाहदरा नॉर्थ ज़ोन
सरिता विहार पॉकेट के,सरिता विहार पॉकेट के,सरिता विहार,187,साउथ ज़ोन
मितराव,मित्राऊँ,दिचाऊँ कलां,128,नजफगढ़ ज़ोन
द्वारका सैक्टर 4,द्वारका सेक्टर 4,द्वारका - ए,121,नजफगढ़ ज़ोन
sarita vihar pocketj,sarita vihar pocket j,sarita vihar,187,south zone
lal kuan delhi,lal kuan,pul pehladpur,179,south zone
नानकपुरा रोड,नानकपुरा,आर.के. पुरम,152,साउथ ज़ोन
संजय कालोनी,संजय कॉलोनी,हरकेश नगर,177,साउथ ज़ोन
mahalaxmi colony,mahalaxmi enclave,karawal nagar east,241,shahdara north zone
shalimar bagh blk c,shalimar bagh block c,shalimar bagh - b,56,keshav puram zone
बाली नगर कॉलोनी,बाली नगर,रमेश नगर,91,करोल बाग ज़ोन
vikas nagar colony,vikas nagar,hastsal,108,west zone
मित्राऊँ मुख्य गांव,मित्राऊँ,दिचाऊँ कलां,128,नजफगढ़ ज़ोन
तिगड़ी एक्सटेंशन कॉलोनी,तिगड़ी एक्सटेंशन,तिगड़ी,162,साउथ ज़ोन
लाल क्वार्टर दिल्ली,लाल क्वार्टर मार्केट,कृष्णा नगर,211,शाहदरा साउथ ज़ोन
मित्राऊँ,मित्राऊँ,दिचाऊँ कलां,128,नजफगढ़ ज़ोन
सेक्टर ७ द्वारका,द्वारका सेक्टर 7,द्वारका - ए,121,नजफगढ़ ज़ोन
रानी गार्डन रोड,रानी गार्डन,गीता कॉलोनी,210,शाहदरा साउथ ज़ोन
स्वास्थ विहार,स्वास्थ्य विहार,प्रीत विहार,204,ईस्ट ज़ोन
kanjhawala vill,kanjhawala village,kanjhawala,32,narela zone
balymaran,ballimaran,ballimaran,79,city sp zone
sarita vihar delhi pocket j,sarita vihar pocket j,sarita vihar,187,south zone
ईस्ट आज़ाद नगर,ईस्ट आज़ाद नगर,आज़ाद नगर,214,शाहदरा साउथ ज़ोन
सुलभ इंटरनेशनल,सुलभ इंटरनेशनल,महावीर एन्क्लेव,105,नजफगढ़ ज़ोन
ghitorni road,ghitorni,aya nagar,157,south zone
सेंट्रल मार्केट,सेंट्रल मार्केट लाजपत नगर,लाजपत नगर,144,सेंट्रल ज़ोन
सिद्धार्थ एक्सटेंसन,सिद्धार्थ एक्सटेंशन,सिद्धार्थ नगर,143,सेंट्रल ज़ोन
dsiidc ind area,dsiidc industrial area,bawana,30,narela zone
कापसहेड़ा गाँव,कापसहेड़ा गाँव,कापसहेड़ा,132,नजफगढ़ ज़ोन
निलोठी एक्सटेंशन एरिया,निलोठी एक्सटेंशन,कुंवर सिंह,110,नजफगढ़ ज़ोन
सुभद्रा कॉलोनी दिल्ली,सुभद्रा कॉलोनी,शास्त्री नगर,70,सिटी एसपी ज़ोन
लालबाग,लाल बाग,आज़ादपुर,16,सिविल लाइंस ज़ोन
मलका गंज बाजार,मलका गंज,मलका गंज,12,सिविल लाइंस ज़ोन
अलीपुर बीडीओ ऑफिस,बीडीओ ऑफिस एरिया,अलीपुर,4,नरेला ज़ोन
yadav nager,yadav nagar,samaypur badli,20,civil lines zone
बक्कर वाला,बक्करवाला,बापरोला,111,नजफगढ़ ज़ोन
विश्वास नगर शाहदरा,विश्वास नगर,विश्वास नगर,207,शाहदरा साउथ ज़ोन
त्रिवेणी कोलोनी,त्रिवेणी कॉलोनी,बख्तावरपुर,5,नरेला ज़ोन
central market,central market,lajpat nagar,144,central zone
kapil vihar delhi,kapil vihar,kohat enclave,61,keshav puram zone
mangolpuri kalan colony,mangolpuri kalan,mangolpuri-a,49,rohini zone
toda pur,todapur,inder puri,140,karol bagh zone
रणहौला कॉलोनी,रणहौला,विकास नगर,109,वेस्ट ज़ोन
गाँधी नगर दिल्ली बाजार,गांधी नगर Market,गांधी नगर,212,शाहदरा साउथ ज़ोन
mukundpur p-2,mukundpur part 2,mukundpur,8,civil lines zone
shanti nagar tri nagar,shanti nagar,tri nagar,63,keshav puram zone
गोयला डेयरी नजफगढ़,गोयला डेयरी,रोशनपुरा,129,नजफगढ़ ज़ोन
कमला नगर की मार्केट,कमला नगर मार्केट,कमला नगर,69,केशव पुरम ज़ोन
टैगोर गार्डन विस्तार,टैगोर गार्डन एक्सटेंशन,रघुबीर नगर,94,वेस्ट ज़ोन
मंडोली कॉलोनी,मंडोली,अशोक नगर,221,शाहदरा नॉर्थ ज़ोन
शाम नगर एरिया,शाम नगर,ख्याला,102,वेस्ट ज़ोन
मंगोलपुरी कलां दिल्ली,मंगोलपुरी कलां,मंगोलपुरी-ए,49,रोहिणी ज़ोन
drdo rac building,drdo rac,timarpur,11,civil lines zone
motia khan junk market,motia khan,quraish nagar,81,city sp zone
sltanpuri block d,sultanpuri block d,sultanpuri-a,43,rohini zone
badarpur border,badarpur border,hari nagar extension,183,south zone
दिलशाद गार्डन रोड,दिलशाद गार्डन ब्लॉक,दिलशाद गार्डन,219,शाहदरा नॉर्थ ज़ोन
chauhan patti road,chauhan patti,sonia vihar,249,shahdara north zone
घोंडा एक्सटेंशन,घोंडा एक्सटेंशन,यमुना विहार (gen.),232,शाहदरा नॉर्थ ज़ोन
हौज काजी मेट्रो,हौज क़ाज़ी,बाज़ार सीता राम,78,सिटी एसपी ज़ोन
lajpat ngr 3,lajpat nagar 3,lajpat nagar,144,central zone
kanjhawalavillage,kanjhawala village,kanjhawala,32,narela zone
मुनिरका मुख्य गांव,मुनिरका गाँव,मुनिरका,151,साउथ ज़ोन
rk puram sector 12,rk puram sector 12,r.k. puram,152,south zone
dilshad coloni,dilshad colony,dilshad colony,217,shahdara south zone
vikaspurim block,vikaspuri block m,vikas puri,107,west zone
sngam vihar block c,sangam vihar block c,sangam vihar - a,163,south zone
laxmi ngr,laxmi nagar (parts),lalita park,201,east zone
rk puram sec4,rk puram sector 4,r.k. puram,152,south zone
shastri park,shastri park,shastri park,213,shahdara north zone
खेलगाँव दिल्ली,खेल गाँव,हौज खास,148,साउथ ज़ोन
pratap nagar kishan ganj,pratap nagar,kishan ganj,71,city sp zone
मटियाला द्वारका के पास,मटियाला गाँव,मटियाला,122,नजफगढ़ ज़ोन
appolo hospital,apollo hospital,sarita vihar,187,south zone
pushp vihar sec 4,pushp vihar sector 4,pushp vihar,166,south zone
naharpur rohini,naharpur,rohini-a,21,rohini zone
lajpat nagar pt 2,lajpat nagar 2,lajpat nagar,144,central zone
laxmi nagar area,laxmi nagar (parts),lalita park,201,east zone
बवाना देहात,बवाना गाँव,बवाना,30,नरेला ज़ोन
कापसहेड़ा दिल्ली,कापसहेड़ा गाँव,कापसहेड़ा,132,नजफगढ़ ज़ोन
चौहान बांगर मार्केट,चौहान बांगर,चौहान बांगर (women),227,शाहदरा नॉर्थ ज़ोन
model town part 2,model town 2,model town,68,keshav puram zone
lalbagh delhi,lal bagh,azadpur,16,civil lines zone
ranhola area,ranhola,vikas nagar,109,west zone
meethapur area,meethapur village,meethapur,182,south zone
सुंदर विहार वाली गली,सुंदर विहार,ज्वालापुरी,45,रोहिणी ज़ोन
मंगलापुरी गांव,मंगलापुरी,मंगलापुरी,119,नजफगढ़ ज़ोन
dwarka sector9,dwarka sector 9,dwarka - a,121,najafgarh zone
त्रिवेणी बस्ती,त्रिवेणी कॉलोनी,बख्तावरपुर,5,नरेला ज़ोन
anand parbat indus area,anand parbat industrial area,baljeet nagar,88,karol bagh zone
e azad ngr,east azad nagar,azad nagar,214,shahdara south zone
sant nagar b block,sant nagar block b,sant nagar,9,civil lines zone
lado sarai delhi,lado sarai village,lado sarai,154,south zone
अगर नगर रोड,अगर नगर,किराड़ी,37,रोहिणी ज़ोन
द्वारका सैक्टर 5,द्वारका सेक्टर 5,द्वारका - ए,121,नजफगढ़ ज़ोन
लोक विहार दिल्ली,लोक विहार,सरस्वती विहार,58,केशव पुरम ज़ोन
द्वारका मोड एरिया,द्वारका मोड़,नवादा,114,नजफगढ़ ज़ोन
ghonda extn area,ghonda extension,yamuna vihar (gen.),232,shahdara north zone
